%TITLE%
 JAX   210418/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
   15.83,  28042.00,    -47.47,    -76.66,     45.00,     17.00
   14.43,  28651.00,    -46.78,    -76.55,     35.00,     18.01
   13.90,  28900.30,    -46.50,    -76.50,  -9999.00,  -9999.00
   13.78,  28956.00,    -45.73,    -75.73,     30.00,     17.00
   13.60,  29045.78,    -44.50,    -74.50,  -9999.00,  -9999.00
   12.30,  29723.37,    -41.30,    -74.30,  -9999.00,  -9999.00
   12.04,  29870.00,    -41.75,    -74.11,     70.00,     24.01
   11.50,  30178.71,    -42.70,    -73.70,  -9999.00,  -9999.00
   11.00,  30480.00,    -41.10,    -74.56,     60.00,     18.01
   10.70,  30668.15,    -40.10,    -75.10,  -9999.00,  -9999.00
   10.06,  31090.00,    -40.10,    -75.10,    110.00,     10.99
   10.00,  31130.00,    -40.10,    -75.10,    110.00,     10.99
    9.40,  31553.04,    -39.10,    -75.10,  -9999.00,  -9999.00
%END%

----- Parcel Information-----
*** 100mb MIXED LAYER PARCEL ***
LPL:  P=1010  T=74F  Td=63F
MLCAPE:                48 J/kg
MLCINH:               -66 J/kg
MLLI:                  -0 C
MLLI(300mb):            1 C
3km MLCAPE:            15 J/kg
NCAPE:             0.10 m/s2

MLLCL:       920mb        809m
MLLFC:       509mb       5627m
MLEL:        479mb       6087m
MLMPL:       472mb       6200m
All heights AGL

*** MU PARCEL IN LOWEST 400mb ***
LPL:  P=1010  T=78F  Td=73F
MUCAPE:              3356 J/kg
MUCINH:                 0 J/kg
MULI:                  -8 C
MULI(300mb):           -9 C
3km MUCAPE:           481 J/kg
NCAPE:             0.27 m/s2

MULCL:       974mb        322m
MULFC:       974mb        322m
MUEL:        181mb      12807m
MUMPL:        83mb      17521m
All heights AGL

*** SFC PARCEL ***
LPL:  P=1010  T=78F  Td=73F
SBCAPE:              3356 J/kg
SBCINH:                 0 J/kg
SBLI:                  -8 C
SBLI(300mb):           -9 C
3km SBCAPE:           481 J/kg
NCAPE:             0.27 m/s2

SBLCL:       974mb        322m
SBLFC:       974mb        322m
SBEL:        181mb      12807m
SBMPL:        83mb      17521m
All heights AGL

----- Misc Thermodynamic Parameters -----
Melting Level:    13120.6
Conv Temp:    25.9
WBZ height:    	  12910.3
DCAPE:        285.3

----- Moisture -----
Precip Water:    1.83 in
0-1 km mean W:          12.2 g/Kg
0-3 km mean W:          10.7 g/Kg
SFC-850 mb mean W:      11.5 g/Kg

500 mb W:          3.1 g/Kg
700 mb W:          8.2 g/Kg
850 mb W:          10.3 g/Kg
925 mb W:          10.3 g/Kg
SFC RH:	     86 %

-----Delta T and  Lapse Rates -----
700-500mb   16 C      6.1 C/km
850-500mb   22 C      5.3 C/km
0-3 km      19 C      6.5 C/km
3-6 km      18 C      6.0 C/km

----- Vertical Shear -----
0-1 km BWD   22 kt
